
code	|	name	|	preferred name	|	taxid
1	|	Acidithiobacillus caldus ATCC 51756	|	 	|	637389
1	|	Acidithiobacillus caldus SM-1	|	 	|	990288
1	|	Acidithiobacillus ferrivorans SS3	|	 	|	743299
1	|	Acidithiobacillus ferrooxidans ATCC 23270	|	 	|	243159
1	|	Acidithiobacillus ferrooxidans ATCC 53993	|	 	|	380394
1	|	Acidobacterium capsulatum ATCC 51196	|	 	|	240015
3	|	Acidothermus cellulolyticus 11B ATCC 43068	|	 	|	 
1	|	Acidovorax avenae subsp. avenae ATCC 19860	|	 	|	643561
1	|	Acidovorax citrulli AAC00-1	|	 	|	397945
1	|	Acidovorax ebreus TPSY	|	 	|	535289
1	|	Acidovorax sp. JS42	|	 	|	232721
1	|	Acidovorax sp. KKS102	|	 	|	358220
1	|	Aciduliprofundum boonei T469	|	 	|	439481
1	|	Aciduliprofundum sp. MAR08-339	|	 	|	673860
1	|	Acinetobacter baumannii 1656-2	|	 	|	696749
3	|	Acinetobacter baumannii 6200	|	 	|	 
3	|	Acinetobacter baumannii 6411	|	 	|	 
3	|	Acinetobacter baumannii A1	|	 	|	 
1	|	Acinetobacter baumannii AB0057	|	 	|	480119
3	|	Acinetobacter baumannii AB030	|	 	|	 
3	|	Acinetobacter baumannii AB031	|	 	|	 
1	|	Acinetobacter baumannii AB307-0294	|	 	|	557600
3	|	Acinetobacter baumannii AB5075-UW	|	 	|	 
1	|	Acinetobacter baumannii AC12	|	 	|	1198108
3	|	Acinetobacter baumannii AC29	|	 	|	 
1	|	Acinetobacter baumannii AC30	|	 	|	1224747
1	|	Acinetobacter baumannii ACICU	|	 	|	405416
1	|	Acinetobacter baumannii ATCC 17978	|	 	|	400667
1	|	Acinetobacter baumannii AYE	|	 	|	509173
3	|	Acinetobacter baumannii AbH12O-A2	|	 	|	 
1	|	Acinetobacter baumannii BJAB07104	|	 	|	1096995
1	|	Acinetobacter baumannii BJAB0715	|	 	|	1096996
1	|	Acinetobacter baumannii BJAB0868	|	 	|	1096997
1	|	Acinetobacter baumannii D1279779	|	 	|	945556
3	|	Acinetobacter baumannii IOMTU 433	|	 	|	 
1	|	Acinetobacter baumannii LAC-4	|	 	|	1455315
1	|	Acinetobacter baumannii MDR-TJ	|	 	|	889738
1	|	Acinetobacter baumannii MDR-ZJ06	|	 	|	497978
1	|	Acinetobacter baumannii NCGM 237	|	 	|	1401639
1	|	Acinetobacter baumannii PKAB07	|	 	|	1413216
1	|	Acinetobacter baumannii SDF	|	 	|	509170
1	|	Acinetobacter baumannii TCDC-AB0715	|	 	|	980514
1	|	Acinetobacter baumannii TYTH-1	|	 	|	1100841
1	|	Acinetobacter baumannii ZW85-1	|	 	|	1400867
1	|	Acinetobacter calcoaceticus PHEA-2	|	Acinetobacter pittii PHEA-2	|	871585
1	|	Acinetobacter oleivorans DR1	|	 	|	436717
1	|	Acinetobacter sp. ADP1	|	Acinetobacter baylyi ADP1	|	62977
3	|	Actinobacillus equuli subsp. equuli 19392	|	 	|	 
1	|	Actinobacillus pleuropneumoniae serovar 3 str. JL03	|	 	|	434271
1	|	Actinobacillus pleuropneumoniae serovar 5b str. L20	|	 	|	416269
1	|	Actinobacillus pleuropneumoniae serovar 7 str. AP76	|	 	|	537457
1	|	Actinobacillus succinogenes 130Z	|	 	|	339671
1	|	Actinobacillus suis ATCC 33415	|	 	|	743972
1	|	Actinobacillus suis H91-0380	|	 	|	696748
3	|	Actinobaculum schaalii CCUG 27420	|	 	|	 
1	|	Actinoplanes friuliensis DSM 7358	|	 	|	1246995
1	|	Actinoplanes missouriensis 431	|	 	|	512565
1	|	Actinoplanes sp. N902-109	|	 	|	649831
1	|	Actinoplanes sp. SE50/110	|	 	|	134676
1	|	Actinosynnema mirum DSM 43827	|	 	|	446462
1	|	Adlercreutzia equolifaciens DSM 19450	|	 	|	1384484
1	|	Advenella kashmirensis WT001	|	 	|	1036672
1	|	Advenella mimigardefordensis DPN7	|	 	|	1247726
1	|	Aequorivita sublithincola DSM 14238	|	 	|	746697
1	|	Aerococcus urinae ACS-120-V-Col10a	|	 	|	866775
1	|	Aeromonas hydrophila 4AK4	|	 	|	1354302
3	|	Aeromonas hydrophila AH10	|	 	|	 
3	|	Aeromonas hydrophila AL06-06	|	 	|	 
1	|	Aeromonas hydrophila AL09-71	|	Aeromonas hydrophila subsp. hydrophila AL09-71	|	1321367
1	|	Aeromonas hydrophila J-1	|	 	|	1419584
1	|	Aeromonas hydrophila ML09-119	|	 	|	1288394
1	|	Aeromonas hydrophila YL17	|	 	|	1448139
1	|	Aeromonas hydrophila pc104A	|	 	|	1418107
1	|	Aeromonas hydrophila subsp. hydrophila ATCC 7966	|	 	|	380703
1	|	Aeromonas media WS	|	 	|	1208104
1	|	Aeromonas salmonicida subsp. salmonicida A449	|	 	|	382245
1	|	Aeromonas veronii B565	|	 	|	998088
1	|	Aeropyrum camini SY1 JCM 12091	|	Aeropyrum camini SY1 = JCM 12091	|	1198449
1	|	Aeropyrum pernix K1	|	 	|	272557
1	|	Agaricus bisporus var. bisporus H97	|	 	|	936046
3	|	Agaricus bisporus var. burnettii JB137-S8 JB137-s8	|	 	|	 
1	|	Aggregatibacter actinomycetemcomitans ANH9381	|	 	|	754507
1	|	Aggregatibacter actinomycetemcomitans D11S-1	|	 	|	668336
1	|	Aggregatibacter actinomycetemcomitans D7S-1	|	 	|	694569
1	|	Aggregatibacter actinomycetemcomitans HK1651	|	 	|	272556
1	|	Aggregatibacter aphrophilus NJ8700	|	 	|	634176
1	|	Agrobacterium fabrum str. C58	|	 	|	176299
1	|	Agrobacterium radiobacter K84	|	 	|	311403
1	|	Agrobacterium sp. H13-3	|	Agrobacterium fabacearum	|	1183401
3	|	Agrobacterium tumefaciens Ach5	|	 	|	 
1	|	Agrobacterium tumefaciens LBA4213 Ach5	|	Agrobacterium tumefaciens LBA4213 (Ach5)	|	1435057
1	|	Agrobacterium vitis S4	|	 	|	311402
1	|	Ailuropoda melanoleuca	|	 	|	9646
1	|	Akkermansia muciniphila ATCC BAA-835	|	 	|	349741
1	|	Alcanivorax borkumensis SK2	|	 	|	393595
1	|	Alcanivorax dieselolei B5	|	 	|	930169
1	|	Alcanivorax pacificus W11-5	|	 	|	391936
3	|	Algoriphagus machipongonensis PR1	|	 	|	 
1	|	Alicycliphilus denitrificans BC	|	 	|	596153
1	|	Alicycliphilus denitrificans K601	|	 	|	596154
1	|	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446	|	 	|	521098
1	|	Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1	|	 	|	1048834
1	|	Aliivibrio salmonicida LFI1238	|	 	|	316275
1	|	Aliivibrio wodanis	|	 	|	80852
1	|	Alistipes finegoldii DSM 17242	|	 	|	679935
1	|	Alistipes shahii WAL 8301	|	 	|	717959
1	|	Alkalilimnicola ehrlichii MLHE-1	|	 	|	187272
1	|	Alkaliphilus metalliredigens QYMF	|	 	|	293826
1	|	Alkaliphilus oremlandii OhILAs	|	 	|	350688
1	|	Alligator mississippiensis	|	 	|	8496
1	|	Allochromatium vinosum DSM 180	|	 	|	572477
1	|	Allomyces macrogynus ATCC 38327	|	 	|	578462
3	|	Alteromonas australica DE170	|	 	|	 
3	|	Alteromonas australica H 17	|	 	|	 
1	|	Alteromonas macleodii ATCC 27126	|	 	|	529120
2	|	Alteromonas macleodii AltDE1	|	Alteromonas mediterranea DE1	|	1004786
3	|	Alteromonas macleodii str. Aegean Sea MED64	|	 	|	 
3	|	Alteromonas macleodii str. Balearic Sea AD45	|	 	|	 
3	|	Alteromonas macleodii str. Black Sea 11	|	 	|	 
3	|	Alteromonas macleodii str. Deep ecotype	|	 	|	 
3	|	Alteromonas macleodii str. English Channel 615	|	 	|	 
3	|	Alteromonas macleodii str. English Channel 673	|	 	|	 
3	|	Alteromonas macleodii str. Ionian Sea U4	|	 	|	 
3	|	Alteromonas macleodii str. Ionian Sea U7	|	 	|	 
3	|	Alteromonas macleodii str. Ionian Sea U8	|	 	|	 
3	|	Alteromonas macleodii str. Ionian Sea UM4b	|	 	|	 
3	|	Alteromonas macleodii str. Ionian Sea UM7	|	 	|	 
1	|	Alteromonas sp. SN2	|	Alteromonas naphthalenivorans	|	715451
1	|	Amanita jacksonii TRTC168611	|	 	|	1417757
1	|	Aminobacterium colombiense DSM 12261	|	 	|	572547
1	|	Ammonifex degensii KC4	|	 	|	429009
1	|	Amphibacillus xylanus NBRC 15112	|	 	|	698758
3	|	Amycolatopsis japonica MG417-CF17	|	 	|	 
1	|	Amycolatopsis lurida NRRL 2430	|	 	|	1460371
1	|	Amycolatopsis mediterranei RB	|	 	|	1221524
1	|	Amycolatopsis mediterranei S699	|	 	|	713604
1	|	Amycolatopsis mediterranei U32	|	 	|	749927
1	|	Amycolatopsis methanolica 239	|	 	|	1068978
1	|	Amycolatopsis orientalis HCCB10007	|	 	|	1156913
2	|	Amycolicicoccus subflavus DQS3-9A1	|	Hoyosella subflava DQS3-9A1	|	443218
1	|	Anabaena cylindrica PCC 7122	|	 	|	272123
1	|	Anabaena sp. 90	|	 	|	46234
1	|	Anabaena variabilis ATCC 29413	|	Trichormus variabilis ATCC 29413	|	240292
2	|	Anaerobaculum mobile DSM 13181	|	Acetomicrobium mobile DSM 13181	|	891968
1	|	Anaerococcus prevotii DSM 20548	|	 	|	525919
1	|	Anaerolinea thermophila UNI-1	|	 	|	926569
1	|	Anaeromyxobacter dehalogenans 2CP-1	|	 	|	455488
1	|	Anaeromyxobacter dehalogenans 2CP-C	|	 	|	290397
1	|	Anaeromyxobacter sp. Fw109-5	|	 	|	404589
1	|	Anaeromyxobacter sp. K	|	 	|	447217
1	|	Anaplasma centrale str. Israel	|	 	|	574556
1	|	Anaplasma marginale str. Dawn	|	 	|	1412841
1	|	Anaplasma marginale str. Florida	|	 	|	320483
1	|	Anaplasma marginale str. Gypsy Plains	|	 	|	1412840
1	|	Anaplasma marginale str. St. Maries	|	 	|	234826
1	|	Anaplasma phagocytophilum str. Dog2	|	 	|	1184254
1	|	Anaplasma phagocytophilum str. HZ2	|	 	|	1184253
1	|	Anaplasma phagocytophilum str. HZ	|	 	|	212042
1	|	Anaplasma phagocytophilum str. JM	|	 	|	1173064
1	|	Anncaliia algerae PRA109	|	 	|	1240240
1	|	Anncaliia algerae PRA339	|	 	|	1288291
1	|	Anolis carolinensis	|	 	|	28377
1	|	Anopheles gambiae str. PEST	|	 	|	180454
1	|	Anoxybacillus flavithermus WK1	|	 	|	491915
1	|	Apis mellifera	|	 	|	7460
3	|	Aplysia californica F4 #8	|	 	|	 
1	|	Aquifex aeolicus VF5	|	 	|	224324
1	|	Arabidopsis thaliana	|	 	|	3702
1	|	Arcanobacterium haemolyticum DSM 20595	|	 	|	644284
1	|	Archaeoglobus fulgidus DSM 4304	|	 	|	224325
1	|	Archaeoglobus fulgidus DSM 8774	|	 	|	1344584
1	|	Archaeoglobus profundus DSM 5631	|	 	|	572546
1	|	Archaeoglobus sulfaticallidus PM70-1	|	 	|	387631
1	|	Archaeoglobus veneficus SNP6	|	 	|	693661
1	|	Arcobacter butzleri 7h1h	|	Aliarcobacter butzleri 7h1h	|	1036172
1	|	Arcobacter butzleri ED-1	|	Aliarcobacter butzleri ED-1	|	944546
1	|	Arcobacter butzleri RM4018	|	Aliarcobacter butzleri RM4018	|	367737
1	|	Arcobacter nitrofigilis DSM 7299	|	 	|	572480
1	|	Arcobacter sp. L	|	 	|	944547
1	|	Aromatoleum aromaticum EbN1	|	 	|	76114
2	|	Arthrobacter arilaitensis Re117	|	Glutamicibacter arilaitensis Re117	|	861360
3	|	Arthrobacter aurescens TC1 ATCC BAA-1386	|	 	|	 
2	|	Arthrobacter chlorophenolicus A6	|	Pseudarthrobacter chlorophenolicus A6	|	452863
2	|	Arthrobacter phenanthrenivorans Sphe3	|	Pseudarthrobacter phenanthrenivorans Sphe3	|	930171
1	|	Arthrobacter sp. FB24	|	 	|	290399
1	|	Arthrobacter sp. IHBB 11108	|	Psychromicrobium lacuslunae	|	1618207
1	|	Arthrobacter sp. PAMC25486	|	Arthrobacter sp. PAMC 25486	|	1494608
1	|	Arthrobacter sp. Rue61a	|	 	|	1118963
1	|	Arthroderma benhamiae CBS 112371	|	Trichophyton benhamiae CBS 112371	|	663331
2	|	Arthroderma otae CBS 113480	|	Microsporum canis CBS 113480	|	554155
1	|	Arthrospira platensis NIES-39	|	 	|	696747
1	|	Arthrospira sp. PCC 8005	|	Limnospira indica PCC 8005	|	376219
1	|	Ascocoryne sarcoides NRRL 50072	|	 	|	1016881
3	|	Ascosphaera apis ARSEF 7405 USDA-ARSEF 7405	|	 	|	 
1	|	Aspergillus clavatus NRRL 1	|	 	|	344612
1	|	Aspergillus flavus NRRL3357	|	 	|	332952
1	|	Aspergillus fumigatus A1163	|	 	|	451804
1	|	Aspergillus fumigatus Af293	|	 	|	330879
3	|	Aspergillus kawachii IFO 4308 IFO4308	|	 	|	 
1	|	Aspergillus nidulans FGSC A4	|	 	|	227321
1	|	Aspergillus niger CBS 513.88	|	 	|	425011
1	|	Aspergillus niger SH-2	|	 	|	1316740
1	|	Aspergillus oryzae RIB40	|	 	|	510516
1	|	Aspergillus ruber CBS 135680	|	 	|	1388766
1	|	Aspergillus sojae NBRC 4239	|	 	|	927772
1	|	Aspergillus terreus NIH2624	|	 	|	341663
3	|	Aster yellows witches-broom phytoplasma AYWB	|	 	|	 
1	|	Asticcacaulis excentricus CB 48	|	 	|	573065
1	|	Atopobium parvulum DSM 20469	|	Lancefieldella parvulum DSM 20469	|	521095
1	|	Azoarcus sp. BH72	|	Azoarcus olearius	|	418699
1	|	Azoarcus sp. KH32C	|	 	|	748247
1	|	Azorhizobium caulinodans ORS 571	|	 	|	438753
3	|	Azospirillum brasilense Az39	|	 	|	 
1	|	Azospirillum brasilense Sp245	|	Azospirillum baldaniorum	|	1064539
1	|	Azospirillum lipoferum 4B	|	 	|	862719
1	|	Azospirillum sp. B510	|	 	|	137722
1	|	Azotobacter chroococcum NCIMB 8003	|	 	|	1328314
1	|	Azotobacter vinelandii CA6	|	 	|	1283331
1	|	Azotobacter vinelandii CA	|	 	|	1283330
3	|	Azotobacter vinelandii DJ ATCC BAA-1303	|	 	|	 
1	|	Bacillus amyloliquefaciens CC178	|	 	|	1412898
1	|	Bacillus amyloliquefaciens DSM 7	|	Bacillus amyloliquefaciens DSM 7 = ATCC 23350	|	692420
1	|	Bacillus amyloliquefaciens IT-45	|	 	|	1091041
3	|	Bacillus amyloliquefaciens L-H15	|	 	|	 
3	|	Bacillus amyloliquefaciens L-S60	|	 	|	 
1	|	Bacillus amyloliquefaciens LFB112	|	 	|	1415165
1	|	Bacillus amyloliquefaciens LL3	|	 	|	1001582
2	|	Bacillus amyloliquefaciens SQR9	|	Bacillus velezensis SQR9	|	1423138
1	|	Bacillus amyloliquefaciens TA208	|	 	|	999891
1	|	Bacillus amyloliquefaciens XH7	|	 	|	1034836
1	|	Bacillus amyloliquefaciens Y2	|	 	|	1126211
2	|	Bacillus amyloliquefaciens subsp. amyloliquefaciens KHG19	|	Bacillus amyloliquefaciens KHG19	|	1292358
2	|	Bacillus amyloliquefaciens subsp. plantarum AS43.3	|	Bacillus velezensis AS43.3	|	1225788
2	|	Bacillus amyloliquefaciens subsp. plantarum CAU B946	|	Bacillus velezensis CAU B946	|	1114958
2	|	Bacillus amyloliquefaciens subsp. plantarum FZB42	|	Bacillus velezensis FZB42	|	326423
2	|	Bacillus amyloliquefaciens subsp. plantarum NAU-B3	|	Bacillus velezensis NAU-B3	|	1385727
2	|	Bacillus amyloliquefaciens subsp. plantarum NJN6	|	Bacillus velezensis NJN-6	|	1458206
2	|	Bacillus amyloliquefaciens subsp. plantarum TrigoCor1448	|	Bacillus velezensis TrigoCor1448	|	1449088
3	|	Bacillus amyloliquefaciens subsp. plantarum UCMB5033 UCMB-5033	|	 	|	 
2	|	Bacillus amyloliquefaciens subsp. plantarum UCMB5036	|	Bacillus velezensis UCMB5036	|	1150475
2	|	Bacillus amyloliquefaciens subsp. plantarum UCMB5113	|	Bacillus velezensis UCMB5113	|	1150476
2	|	Bacillus amyloliquefaciens subsp. plantarum YAU B9601-Y2	|	Bacillus velezensis YAU B9601-Y2	|	1155777
3	|	Bacillus anthracis 2000031021	|	 	|	 
3	|	Bacillus anthracis 2002013094	|	 	|	 
3	|	Bacillus anthracis A0157	|	 	|	 
3	|	Bacillus anthracis A1144	|	 	|	 
3	|	Bacillus anthracis Ames A0462	|	 	|	 
3	|	Bacillus anthracis Ames BA1004	|	 	|	 
3	|	Bacillus anthracis BA1015	|	 	|	 
3	|	Bacillus anthracis BA1035	|	 	|	 
3	|	Bacillus anthracis BFV	|	 	|	 
3	|	Bacillus anthracis Canadian bison	|	 	|	 
3	|	Bacillus anthracis Cvac02	|	 	|	 
1	|	Bacillus anthracis HYU01	|	 	|	1436724
3	|	Bacillus anthracis Han	|	 	|	 
3	|	Bacillus anthracis K3	|	 	|	 
3	|	Bacillus anthracis Ohio ACB	|	 	|	 
3	|	Bacillus anthracis PAK-1	|	 	|	 
3	|	Bacillus anthracis Pasteur	|	 	|	 
3	|	Bacillus anthracis Pollino	|	 	|	 
3	|	Bacillus anthracis RA3	|	 	|	 
3	|	Bacillus anthracis SK-102	|	 	|	 
3	|	Bacillus anthracis Vollum 1B	|	 	|	 
3	|	Bacillus anthracis delta Sterne	|	 	|	 
1	|	Bacillus anthracis str. A0248	|	 	|	592021
1	|	Bacillus anthracis str. A16R	|	 	|	673518
1	|	Bacillus anthracis str. A16	|	 	|	743835
1	|	Bacillus anthracis str. A2012	|	 	|	191218
3	|	Bacillus anthracis str. Ames Ancestor A2084	|	 	|	 
1	|	Bacillus anthracis str. Ames	|	 	|	198094
1	|	Bacillus anthracis str. CDC 684	|	 	|	568206
1	|	Bacillus anthracis str. H9401	|	 	|	768494
1	|	Bacillus anthracis str. SVA11	|	 	|	1392837
1	|	Bacillus anthracis str. Sterne	|	 	|	260799
1	|	Bacillus anthracis str. Turkey32	|	 	|	1452727
1	|	Bacillus anthracis str. V770-NP-1R	|	 	|	1449979
1	|	Bacillus anthracis str. Vollum	|	 	|	261591
1	|	Bacillus atrophaeus 1942	|	 	|	720555
3	|	Bacillus atrophaeus NRS 1221A	|	 	|	 
3	|	Bacillus atrophaeus subsp. globigii BSS	|	 	|	 
1	|	Bacillus bombysepticus str. Wang	|	 	|	1330043
1	|	Bacillus cellulosilyticus DSM 2522	|	Evansella cellulosilytica DSM 2522	|	649639
1	|	Bacillus cereus 03BB102	|	 	|	572264
1	|	Bacillus cereus 03BB108	|	 	|	451709
3	|	Bacillus cereus 03BB87	|	 	|	 
3	|	Bacillus cereus 3a	|	 	|	 
1	|	Bacillus cereus AH187	|	 	|	405534
1	|	Bacillus cereus AH820	|	 	|	405535
1	|	Bacillus cereus ATCC 10987	|	 	|	222523
1	|	Bacillus cereus ATCC 14579	|	 	|	226900
1	|	Bacillus cereus ATCC 4342	|	 	|	526977
3	|	Bacillus cereus Al Hakam	|	 	|	 
1	|	Bacillus cereus B4264	|	 	|	405532
1	|	Bacillus cereus D17	|	 	|	1454382
1	|	Bacillus cereus E33L	|	 	|	288681
1	|	Bacillus cereus F837/76	|	 	|	347495
3	|	Bacillus cereus FM1	|	 	|	 
3	|	Bacillus cereus FORC 005	|	 	|	 
1	|	Bacillus cereus FRI-35	|	 	|	1217984
3	|	Bacillus cereus FT9	|	 	|	 
1	|	Bacillus cereus G9241	|	 	|	269801
1	|	Bacillus cereus G9842	|	 	|	405531
1	|	Bacillus cereus NC7401	|	 	|	334406
1	|	Bacillus cereus Q1	|	 	|	361100
3	|	Bacillus cereus S2-8	|	 	|	 
1	|	Bacillus cereus biovar anthracis str. CI	|	 	|	637380
1	|	Bacillus clausii KSM-K16	|	Alkalihalobacillus clausii KSM-K16	|	66692
1	|	Bacillus coagulans 2-6	|	Weizmannia coagulans 2-6	|	941639
1	|	Bacillus coagulans 36D1	|	Weizmannia coagulans 36D1	|	345219
1	|	Bacillus coagulans DSM 1 ATCC 7050	|	Weizmannia coagulans DSM 1 = ATCC 7050	|	1121088
3	|	Bacillus coagulans HM-08	|	 	|	 
1	|	Bacillus cytotoxicus NVH 391-98	|	 	|	315749
1	|	Bacillus halodurans C-125	|	Alkalihalobacillus halodurans C-125	|	272558
1	|	Bacillus infantis NRRL B-14911	|	 	|	1367477
1	|	Bacillus lehensis G1	|	Alkalihalobacillus lehensis G1	|	1246626
2	|	Bacillus licheniformis 9945A	|	Bacillus paralicheniformis ATCC 9945a	|	766760
3	|	Bacillus licheniformis BL-09	|	 	|	 
1	|	Bacillus licheniformis DSM 13 ATCC 14580	|	Bacillus licheniformis DSM 13 = ATCC 14580	|	279010
1	|	Bacillus megaterium DSM 319	|	Priestia megaterium DSM 319	|	592022
1	|	Bacillus megaterium NBRC 15308 ATCC 14581	|	Priestia megaterium NBRC 15308 = ATCC 14581	|	1348623
1	|	Bacillus megaterium QM B1551	|	Priestia megaterium QM B1551	|	545693
1	|	Bacillus megaterium WSH-002	|	Priestia megaterium WSH-002	|	1006007
1	|	Bacillus methanolicus MGA3	|	 	|	796606
3	|	Bacillus methylotrophicus JS25R	|	 	|	 
3	|	Bacillus mycoides 219298	|	 	|	 
3	|	Bacillus mycoides ATCC 6462	|	 	|	 
1	|	Bacillus pseudofirmus OF4	|	Alkalihalobacillus pseudofirmus OF4	|	398511
3	|	Bacillus pumilus MTCC B6033	|	 	|	 
1	|	Bacillus pumilus SAFR-032	|	 	|	315750
3	|	Bacillus pumilus W3	|	 	|	 
1	|	Bacillus selenitireducens MLS10	|	[Bacillus] selenitireducens MLS10	|	439292
1	|	Bacillus sp. 1NLA3E	|	 	|	666686
1	|	Bacillus sp. BH072	|	 	|	1570330
1	|	Bacillus sp. BS34A	|	 	|	1806506
1	|	Bacillus sp. JS	|	 	|	1127744
1	|	Bacillus sp. LM 4-2	|	 	|	1628753
1	|	Bacillus sp. OxB-1	|	 	|	98228
1	|	Bacillus sp. Pc3	|	 	|	1446792
1	|	Bacillus sp. WP8	|	 	|	756828
3	|	Bacillus sp. X12014	|	 	|	 
1	|	Bacillus sp. YP1	|	 	|	1574141
3	|	Bacillus subtilis ATCC 13952	|	 	|	 
3	|	Bacillus subtilis ATCC 19217	|	 	|	 
3	|	Bacillus subtilis B-1	|	 	|	 
1	|	Bacillus subtilis BEST7003	|	 	|	1204342
1	|	Bacillus subtilis BEST7613	|	 	|	1204343
3	|	Bacillus subtilis BS49	|	 	|	 
1	|	Bacillus subtilis BSn5	|	 	|	936156
3	|	Bacillus subtilis Bs-916	|	 	|	 
1	|	Bacillus subtilis HJ5	|	 	|	1453990
1	|	Bacillus subtilis KCTC 1028	|	Bacillus subtilis KCTC 1028 = ATCC 6051a	|	1136873
3	|	Bacillus subtilis PS832	|	 	|	 
1	|	Bacillus subtilis PY79	|	 	|	1415167
1	|	Bacillus subtilis QB928	|	 	|	1220533
3	|	Bacillus subtilis SG6	|	 	|	 
3	|	Bacillus subtilis T30	|	 	|	 
1	|	Bacillus subtilis XF-1	|	 	|	1233100
1	|	Bacillus subtilis subsp. natto BEST195	|	 	|	645657
3	|	Bacillus subtilis subsp. spizizenii NRS 231	|	 	|	 
1	|	Bacillus subtilis subsp. spizizenii TU-B-10	|	 	|	1052585
1	|	Bacillus subtilis subsp. spizizenii str. W23	|	 	|	655816
3	|	Bacillus subtilis subsp. subtilis 3NA	|	 	|	 
1	|	Bacillus subtilis subsp. subtilis 6051-HGW	|	 	|	1147161
1	|	Bacillus subtilis subsp. subtilis str. 168	|	 	|	224308
1	|	Bacillus subtilis subsp. subtilis str. AG1839	|	 	|	1221328
1	|	Bacillus subtilis subsp. subtilis str. BAB-1	|	 	|	1302650
1	|	Bacillus subtilis subsp. subtilis str. BSP1	|	 	|	1192196
1	|	Bacillus subtilis subsp. subtilis str. JH642 substr. AG174	|	 	|	1232554
1	|	Bacillus subtilis subsp. subtilis str. OH 131.1	|	 	|	1404258
1	|	Bacillus subtilis subsp. subtilis str. RO-NN-1	|	 	|	1052588
3	|	Bacillus thuringiensis 97-27	|	 	|	 
1	|	Bacillus thuringiensis BMB171	|	 	|	714359
1	|	Bacillus thuringiensis Bt407	|	 	|	527021
1	|	Bacillus thuringiensis HD-771	|	 	|	1218175
1	|	Bacillus thuringiensis HD-789	|	 	|	1217737
1	|	Bacillus thuringiensis HD1002	|	 	|	1452729
3	|	Bacillus thuringiensis HD1011	|	 	|	 
3	|	Bacillus thuringiensis HD571	|	 	|	 
3	|	Bacillus thuringiensis HD682	|	 	|	 
1	|	Bacillus thuringiensis MC28	|	 	|	1195464
1	|	Bacillus thuringiensis YBT-1518	|	 	|	529122
1	|	Bacillus thuringiensis serovar chinensis CT-43	|	 	|	541229
1	|	Bacillus thuringiensis serovar finitimus YBT-020	|	 	|	930170
3	|	Bacillus thuringiensis serovar galleriae HD-29	|	 	|	 
1	|	Bacillus thuringiensis serovar konkukian str. 97-27	|	[Bacillus thuringiensis] serovar konkukian str. 97-27	|	281309
3	|	Bacillus thuringiensis serovar kurstaki HD 1	|	 	|	 
1	|	Bacillus thuringiensis serovar kurstaki str. HD-1	|	 	|	1261129
1	|	Bacillus thuringiensis serovar kurstaki str. HD73	|	 	|	1279365
1	|	Bacillus thuringiensis serovar kurstaki str. YBT-1520	|	 	|	570416
3	|	Bacillus thuringiensis serovar morrisoni BGSC 4AA1	|	 	|	 
1	|	Bacillus thuringiensis serovar thuringiensis str. IS5056	|	 	|	1286404
1	|	Bacillus thuringiensis str. Al Hakam	|	 	|	412694
1	|	Bacillus toyonensis BCT-7112	|	 	|	1415784
2	|	Bacillus weihenstephanensis KBAB4	|	Bacillus mycoides KBAB4	|	315730
