taxid	GenomeID	superkingdom	kingdom	phylum	class	order	family	genus	Domain	Group	SubGroup	size_gen	Genes	ntrna_gen	GC	Status	levels	filt
1266371	Cand_Trem_phenacola_PAVE	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Betaproteobacteria	Ord_of_unclassified Betaproteobacteria	Fam_unclassified Betaproteobacteria	Candidatus Tremblaya	Bacteria	Proteobacteria	Betaproteobacteria	0.1715	214	31	42.1004	Complete Genome	Bacteria	no
667013	Cand_Cars_ruddii_DC	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Candidatus Carsonella	Bacteria	Proteobacteria	Gammaproteobacteria	0.174014	234	27	17.6	Complete Genome	Bacteria	no
1343076	Cand_Sulc_muelleri_Sulcia_ALF	Bacteria	Kin_FCB group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Fam_unclassified Flavobacteriales	Candidatus Sulcia	Bacteria	FCB group	Bacteroidetes/Chlorobi group	0.190733	225	30	24	Complete Genome	Bacteria	no
871271	Cand_Zind_insecticola_CARI	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Candidatus Zinderia	Bacteria	Proteobacteria	Betaproteobacteria	0.208564	236	25	13.5	Complete Genome	Bacteria	no
641892	Cand_Sulc_muelleri_DMIN	Bacteria	Kin_FCB group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Fam_unclassified Flavobacteriales	Candidatus Sulcia	Bacteria	FCB group	Bacteroidetes/Chlorobi group	0.243933	261	31	22.5	Complete Genome	Bacteria	no
444179	Cand_Sulc_muelleri_GWSS	Bacteria	Kin_FCB group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Fam_unclassified Flavobacteriales	Candidatus Sulcia	Bacteria	FCB group	Bacteroidetes/Chlorobi group	0.24553	264	31	22.4	Complete Genome	Bacteria	no
1133592	Cand_Uzin_diaspidicola_ASNER	Bacteria	Kin_FCB group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Fam_unclassified Flavobacteriales	Gen_Candidatus Uzinura	Bacteria	FCB group	Bacteroidetes/Chlorobi group	0.263431	272	32	30.2	Complete Genome	Bacteria	no
706194	Cand_Sulc_muelleri_CARI	Bacteria	Kin_FCB group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Fam_unclassified Flavobacteriales	Candidatus Sulcia	Bacteria	FCB group	Bacteroidetes/Chlorobi group	0.276511	288	30	21.1	Complete Genome	Bacteria	no
595499	Cand_Sulc_muelleri_SMDSEM	Bacteria	Kin_FCB group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Fam_unclassified Flavobacteriales	Candidatus Sulcia	Bacteria	FCB group	Bacteroidetes/Chlorobi group	0.276984	279	28	22.6	Complete Genome	Bacteria	no
336810	Cand_Sulc_muelleri_ML	Bacteria	Kin_FCB group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Fam_unclassified Flavobacteriales	Candidatus Sulcia	Bacteria	FCB group	Bacteroidetes/Chlorobi group	0.278298	291	30	22.5	Complete Genome	Bacteria	no
336810	Cand_Sulc_muelleri_TETUND	Bacteria	Kin_FCB group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Fam_unclassified Flavobacteriales	Candidatus Sulcia	Bacteria	FCB group	Bacteroidetes/Chlorobi group	0.278298	291	30	22.5	Complete Genome	Bacteria	no
336810	Cand_Sulc_muelleri_BGSS	Bacteria	Kin_FCB group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Fam_unclassified Flavobacteriales	Candidatus Sulcia	Bacteria	FCB group	Bacteroidetes/Chlorobi group	0.278298	291	31	22.5	Complete Genome	Bacteria	no
1297582	Cand_Port_aleyrodidarum_TV	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Candidatus Portiera	Bacteria	Proteobacteria	Gammaproteobacteria	0.280663	307	34	24.7	Complete Genome	Bacteria	no
1297582	Cand_Port_aleyrodidarum_TV_BCN	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Candidatus Portiera	Bacteria	Proteobacteria	Gammaproteobacteria	0.280663	307	34	24.7	Complete Genome	Bacteria	no
1189303	Cand_Sulc_muelleri_PSPU	Bacteria	Kin_FCB group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Fam_unclassified Flavobacteriales	Candidatus Sulcia	Bacteria	FCB group	Bacteroidetes/Chlorobi group	0.285352	296	30	20.9	Complete Genome	Bacteria	no
312279	Emti_olig_DSM_17448	Bacteria	Kin_FCB group	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Emticicia	Bacteria	FCB group	Bacteroidetes/Chlorobi group	0.335261		42	36.7	Scaffold	Bacteria	ok
1239881	Cand_Port_aleyrodidarum_BT_QVLC	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Candidatus Portiera	Bacteria	Proteobacteria	Gammaproteobacteria	0.357472	299	33	26.1	Complete Genome	Bacteria	no
1239881	Cand_Port_aleyrodidarum_BT_QVLC_1	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Candidatus Portiera	Bacteria	Proteobacteria	Gammaproteobacteria	0.357472	299	33	26.1	Complete Genome	Bacteria	no
1495769	Cand_Evan_muelleri	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Candidatus Evansia	Bacteria	Proteobacteria	Gammaproteobacteria	0.357498	369	33	25.3	Complete Genome	Bacteria	no
1206109	Cand_Port_aleyrodidarum_BT_B_HRs	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Candidatus Portiera	Bacteria	Proteobacteria	Gammaproteobacteria	0.358242	298	33	26.2	Complete Genome	Bacteria	no
1206109	Cand_Port_aleyrodidarum_BT_B_HRs_1	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Candidatus Portiera	Bacteria	Proteobacteria	Gammaproteobacteria	0.358242	298	33	26.2	Complete Genome	Bacteria	no
91844	Cand_Port_aleyrodidarum_MED_Bemisia_tabaci_BT_Q	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Candidatus Portiera	Bacteria	Proteobacteria	Gammaproteobacteria	0.359359	302	33	26.1	Complete Genome	Bacteria	no
91844	Cand_Port_aleyrodidarum_AD_CAI	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Candidatus Portiera	Bacteria	Proteobacteria	Gammaproteobacteria	0.359359	302	34	26.1	Complete Genome	Bacteria	no
91844	Cand_Port_aleyrodidarum_AF_CAI	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Candidatus Portiera	Bacteria	Proteobacteria	Gammaproteobacteria	0.359359	302	35	26.1	Complete Genome	Bacteria	no
9	Buch_aphi_BCc	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	Bacteria	Proteobacteria	Gammaproteobacteria	0.422	881	31	28.258	Complete Genome	Bacteria	ok
9	Buch_aphi_Cinara_tujafilina	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	Bacteria	Proteobacteria	Gammaproteobacteria	0.456703	416	31	28.258	Complete Genome	Bacteria	ok
9	Buch_aphi_5A_Acyrthosiphon_pisum	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	Bacteria	Proteobacteria	Gammaproteobacteria	0.456703	416	32	28.258	Complete Genome	Bacteria	ok
9	Buch_aphi_APS_Acyrthosiphon_pisum	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	Bacteria	Proteobacteria	Gammaproteobacteria	0.456703	416	32	28.258	Complete Genome	Bacteria	ok
9	Buch_aphi_Ak_Acyrthosiphon_kondoi	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	Bacteria	Proteobacteria	Gammaproteobacteria	0.456703	416	32	28.258	Complete Genome	Bacteria	ok
9	Buch_aphi_Bp_Baizongia_pistaciae	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	Bacteria	Proteobacteria	Gammaproteobacteria	0.456703	416	32	28.258	Complete Genome	Bacteria	ok
9	Buch_aphi_F009_Myzus_persicae	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	Bacteria	Proteobacteria	Gammaproteobacteria	0.456703	416	32	28.258	Complete Genome	Bacteria	ok
9	Buch_aphi_G002_Myzus_persicae	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	Bacteria	Proteobacteria	Gammaproteobacteria	0.456703	416	32	28.258	Complete Genome	Bacteria	ok
9	Buch_aphi_JF98_Acyrthosiphon_pisum	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	Bacteria	Proteobacteria	Gammaproteobacteria	0.456703	416	32	28.258	Complete Genome	Bacteria	ok
9	Buch_aphi_JF99_Acyrthosiphon_pisum	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	Bacteria	Proteobacteria	Gammaproteobacteria	0.456703	416	32	28.258	Complete Genome	Bacteria	ok
9	Buch_aphi_LL01_Acyrthosiphon_pisum	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	Bacteria	Proteobacteria	Gammaproteobacteria	0.456703	416	32	28.258	Complete Genome	Bacteria	ok
9	Buch_aphi_LSR1_Acyrthosiphon_pisum	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	Bacteria	Proteobacteria	Gammaproteobacteria	0.456703	416	32	28.258	Complete Genome	Bacteria	ok
9	Buch_aphi_Sg_Schizaphis_graminum	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	Bacteria	Proteobacteria	Gammaproteobacteria	0.456703	416	32	28.258	Complete Genome	Bacteria	ok
9	Buch_aphi_TLW03_Acyrthosiphon_pisum	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	Bacteria	Proteobacteria	Gammaproteobacteria	0.456703	416	32	28.258	Complete Genome	Bacteria	ok
9	Buch_aphi_Tuc7_Acyrthosiphon_pisum	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	Bacteria	Proteobacteria	Gammaproteobacteria	0.456703	416	32	28.258	Complete Genome	Bacteria	ok
9	Buch_aphi_USDA_Myzus_persicae	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	Bacteria	Proteobacteria	Gammaproteobacteria	0.456703	416	32	28.258	Complete Genome	Bacteria	ok
9	Buch_aphi_Ua_Uroleucon_ambrosiae	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	Bacteria	Proteobacteria	Gammaproteobacteria	0.456703	416	32	28.258	Complete Genome	Bacteria	ok
669502	Cand_Prof_armatura_DC	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Betaproteobacteria	Ord_of_unclassified Betaproteobacteria	Fam_unclassified Betaproteobacteria	Candidatus Profftella	Bacteria	Proteobacteria	Betaproteobacteria	0.466568	406	34	24.1965	Complete Genome	Bacteria	no
1234603	Cand_Mora_endobia_PCVAL	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Candidatus Moranella	Bacteria	Proteobacteria	Gammaproteobacteria	0.538203	481	42	43.5	Complete Genome	Bacteria	ok
903503	Cand_Mora_endobia_PCIT	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Candidatus Moranella	Bacteria	Proteobacteria	Gammaproteobacteria	0.538294	479	42	43.5	Complete Genome	Bacteria	ok
515618	Cand_Ries_pediculicola_USDA	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Candidatus Riesia	Bacteria	Proteobacteria	Gammaproteobacteria	0.582127	521	33	28.589	Complete Genome	Bacteria	ok
110500	Pelo_ther_SI	Bacteria	Kin_Terrabacteria group	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Pelotomaculum	Bacteria	Terrabacteria group	Firmicutes	0.600788	773	53	48.4	Scaffold	Bacteria	ok
1318617	Cand_Myco_girerdii_VCU_M1	Bacteria	Kin_Terrabacteria group	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Bacteria	Terrabacteria group	Tenericutes	0.629409	609	31	28.6	Complete Genome	Bacteria	ok
29561	Myco_mele_B2096_8B	Bacteria	Kin_Terrabacteria group	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Bacteria	Terrabacteria group	Tenericutes	0.644173	562	17	26.1	Complete Genome	Bacteria	ok
9	Buch_aphi_W106_Myzus_persicae	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	Bacteria	Proteobacteria	Gammaproteobacteria	0.6513	1158	32	28.258	Complete Genome	Bacteria	ok
325775	Coxi_endo_of_Amblyomma_americanum	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella	Bacteria	Proteobacteria	Gammaproteobacteria	0.656901	612	39	34.6	Complete Genome	Bacteria	ok
1427984	Cand_Hepa_crinochetorum_Av	Bacteria	Kin_Terrabacteria group	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Candidatus Hepatoplasma	Bacteria	Terrabacteria group	Tenericutes	0.657101	614	28	22.5	Complete Genome	Bacteria	ok
956	Wolb_wRi	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	Bacteria	Proteobacteria	Alphaproteobacteria	0.668079	672	35	33.4	Scaffold	Bacteria	ok
29554	Myco_cana_HAZ360_1	Bacteria	Kin_Terrabacteria group	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Bacteria	Terrabacteria group	Tenericutes	0.693241	587	32	24.3	Complete Genome	Bacteria	ok
2098	Myco_homi_AF1	Bacteria	Kin_Terrabacteria group	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Bacteria	Terrabacteria group	Tenericutes	0.696338	605	33	27	Complete Genome	Bacteria	ok
2098	Myco_homi_ATCC_23114	Bacteria	Kin_Terrabacteria group	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Bacteria	Terrabacteria group	Tenericutes	0.696338	605	33	27	Complete Genome	Bacteria	ok
2098	Myco_homi_ATCC_27545_LBD_4	Bacteria	Kin_Terrabacteria group	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Bacteria	Terrabacteria group	Tenericutes	0.696338	605	33	27	Complete Genome	Bacteria	ok
203907	Cand_Bloc_floridanus	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Candidatus Blochmannia	Bacteria	Proteobacteria	Gammaproteobacteria	0.705557	631	37	27.4	Complete Genome	Bacteria	ok
859654	Cand_Bloc_vafer_BVAF	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Candidatus Blochmannia	Bacteria	Proteobacteria	Gammaproteobacteria	0.722585	631	38	27.5	Complete Genome	Bacteria	ok
322098	Aste_yell_witches_broom_phytoplasma_AYWB	Bacteria	Kin_Terrabacteria group	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Candidatus Phytoplasma	Bacteria	Terrabacteria group	Tenericutes	0.72397	680	32	26.8254	Complete Genome	Bacteria	ok
2128	Myco_floc_ATCC_27399_Ms42	Bacteria	Kin_Terrabacteria group	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Bacteria	Terrabacteria group	Tenericutes	0.73372	587	30	29.1	Scaffold	Bacteria	ok
134821	Urea_parv_serovar_3_SV3F4	Bacteria	Kin_Terrabacteria group	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Ureaplasma	Bacteria	Terrabacteria group	Tenericutes	0.741809	624	30	25.5	Complete Genome	Bacteria	ok
134821	Urea_parv_serovar_3_ATCC_27815	Bacteria	Kin_Terrabacteria group	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Ureaplasma	Bacteria	Terrabacteria group	Tenericutes	0.741809	624	30	25.5	Complete Genome	Bacteria	ok
134821	Urea_parv_serovar_3_ATCC_700970	Bacteria	Kin_Terrabacteria group	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Ureaplasma	Bacteria	Terrabacteria group	Tenericutes	0.741809	624	30	25.5	Complete Genome	Bacteria	ok
476281	Cand_Ishi_capsulata_Mpkobe	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Candidatus Ishikawaella	Bacteria	Proteobacteria	Gammaproteobacteria	0.754729	677	37	30.1685	Complete Genome	Bacteria	ok
1212765	Cand_Myco_haemolamae_Purdue	Bacteria	Kin_Terrabacteria group	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Bacteria	Terrabacteria group	Tenericutes	0.756845	984	33	39.3	Complete Genome	Bacteria	ok
186490	Cand_Baum_cicadellinicola_BGSS	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Gammaproteobacteria	Ord_unclassified Gammaproteobacteria	Fam_of_Candidatus Baumannia	Gen_Candidatus Baumannia	Bacteria	Proteobacteria	Gammaproteobacteria	0.759425	743	40	39	Complete Genome	Bacteria	ok
1240471	Cand_Bloc_chromaiodes_640	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Candidatus Blochmannia	Bacteria	Proteobacteria	Gammaproteobacteria	0.791219	659	41	29.5	Complete Genome	Bacteria	ok
291272	Cand_Bloc_pennsylvanicus_BPEN	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Candidatus Blochmannia	Bacteria	Proteobacteria	Gammaproteobacteria	0.791654	658	41	29.6	Complete Genome	Bacteria	ok
2113	Myco_cali_HAZ160_1	Bacteria	Kin_Terrabacteria group	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Bacteria	Terrabacteria group	Tenericutes	0.805917	673	32	30.8	Complete Genome	Bacteria	ok
2113	Myco_cali_ST_6	Bacteria	Kin_Terrabacteria group	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Bacteria	Terrabacteria group	Tenericutes	0.805917	673	32	30.8	Complete Genome	Bacteria	ok
2111	Myco_arth_158L3_1	Bacteria	Kin_Terrabacteria group	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Bacteria	Terrabacteria group	Tenericutes	0.806209	643	33	30.7	Complete Genome	Bacteria	ok
1208920	Cand_Kine_oncopeltii_TCC290E	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Betaproteobacteria	Ord_of_unclassified Betaproteobacteria	Fam_unclassified Betaproteobacteria	Candidatus Kinetoplastibacterium	Bacteria	Proteobacteria	Betaproteobacteria	0.810172	758	44	31.2	Complete Genome	Bacteria	ok
2109	Myco_syno_53	Bacteria	Kin_Terrabacteria group	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Bacteria	Terrabacteria group	Tenericutes	0.818795	725	34	28.2	Complete Genome	Bacteria	ok
2109	Myco_syno_ATCC_25204_WVU1853	Bacteria	Kin_Terrabacteria group	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Bacteria	Terrabacteria group	Tenericutes	0.818795	725	34	28.2	Complete Genome	Bacteria	ok
1208922	Cand_Kine_blastocrithidii_TCC012E	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Betaproteobacteria	Ord_of_unclassified Betaproteobacteria	Fam_unclassified Betaproteobacteria	Candidatus Kinetoplastibacterium	Bacteria	Proteobacteria	Betaproteobacteria	0.820029	787	44	32.5	Complete Genome	Bacteria	ok
1208923	Cand_Kine_blastocrithidii_ex_Strigomonas_culicis	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Betaproteobacteria	Ord_of_unclassified Betaproteobacteria	Fam_unclassified Betaproteobacteria	Candidatus Kinetoplastibacterium	Bacteria	Proteobacteria	Betaproteobacteria	0.820037	788	44	32.5	Complete Genome	Bacteria	ok
2151	Meso_flor_L1_ATCC_33453	Bacteria	Kin_Terrabacteria group	Tenericutes	Mollicutes	Entomoplasmatales	Entomoplasmataceae	Mesoplasma	Bacteria	Terrabacteria group	Tenericutes	0.820043	755	29	26.9	Complete Genome	Bacteria	ok
2151	Meso_flor_W37	Bacteria	Kin_Terrabacteria group	Tenericutes	Mollicutes	Entomoplasmatales	Entomoplasmataceae	Mesoplasma	Bacteria	Terrabacteria group	Tenericutes	0.820043	755	29	26.9	Complete Genome	Bacteria	ok
1267577	Cand_Kine_crithidii_ex_Angomonas_deanei_ATCC_30255	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Betaproteobacteria	Ord_of_unclassified Betaproteobacteria	Fam_unclassified Betaproteobacteria	Candidatus Kinetoplastibacterium	Bacteria	Proteobacteria	Betaproteobacteria	0.821813	791	45	31	Complete Genome	Bacteria	ok
1208918	Cand_Kine_crithidii_TCC036E	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Betaproteobacteria	Ord_of_unclassified Betaproteobacteria	Fam_unclassified Betaproteobacteria	Candidatus Kinetoplastibacterium	Bacteria	Proteobacteria	Betaproteobacteria	0.82193	789	45	31	Complete Genome	Bacteria	ok
1208921	Cand_Kine_galatii_TCC219	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Betaproteobacteria	Ord_of_unclassified Betaproteobacteria	Fam_unclassified Betaproteobacteria	Candidatus Kinetoplastibacterium	Bacteria	Proteobacteria	Betaproteobacteria	0.82214	787	44	32.4	Complete Genome	Bacteria	ok
2104	Myco_pneu_309	Bacteria	Kin_Terrabacteria group	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Bacteria	Terrabacteria group	Tenericutes	0.823017	771	36	39.9606	Complete Genome	Bacteria	ok
2104	Myco_pneu_FH	Bacteria	Kin_Terrabacteria group	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Bacteria	Terrabacteria group	Tenericutes	0.823017	771	36	39.9606	Complete Genome	Bacteria	ok
2104	Myco_pneu_M129_B7	Bacteria	Kin_Terrabacteria group	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Bacteria	Terrabacteria group	Tenericutes	0.823017	771	37	39.9606	Complete Genome	Bacteria	ok
2104	Myco_pneu_M129_ATCC_29342	Bacteria	Kin_Terrabacteria group	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Bacteria	Terrabacteria group	Tenericutes	0.823017	771	37	39.9606	Complete Genome	Bacteria	ok
2104	Myco_pneu_M29	Bacteria	Kin_Terrabacteria group	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Bacteria	Terrabacteria group	Tenericutes	0.823017	771	37	39.9606	Complete Genome	Bacteria	ok
